Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Solid_Solution_Time_h,Cold_Rolling_Reduction,Secondary_Treatment_YN,Aging_Temp_K,Aging_Time_h,Secondary_Mech_YN,Hardness_HV,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Electrical_Conductivity_IACS,DOI
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,573.0,1.0,N,75.0,,,39.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,623.0,1.0,N,86.0,,,40.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,673.0,1.0,N,92.0,,,42.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,723.0,1.0,N,104.0,,,57.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,773.0,1.0,N,148.0,,,73.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,823.0,1.0,N,145.0,,,83.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,N,,,N,90.0,,,33.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,373.0,1.0,N,83.0,,,32.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,473.0,1.0,N,84.0,,,32.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,523.0,1.0,N,84.0,,,32.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,573.0,1.0,N,86.0,,,33.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,623.0,1.0,N,87.0,,,36.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,673.0,1.0,N,88.0,,,37.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,723.0,1.0,N,104.0,,,43.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,773.0,1.0,N,157.0,,,65.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,1.0,0.0,Y,823.0,1.0,N,144.0,,,77.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,N,,,N,,,490.0,65.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,603.0,1.0,N,,,502.0,72.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,603.0,2.0,N,,,511.0,73.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,603.0,4.0,N,,,516.0,74.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,603.0,6.0,N,,,520.0,74.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,603.0,10.0,N,,,519.0,74.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,633.0,1.0,N,,,516.0,75.0,https://doi.org/10.1016/j.jallcom.2014.07.010
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,1.0,80.0,Y,633.0,2.0,N,,,524.0,77.0,https://doi.org/10.1016/j.jallcom.2014.07.010
