Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Aging_Temp_K,Aging_Time_h,Electrical_Conductivity_IACS
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,603.0,10.0,74.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,633.0,1.0,75.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,633.0,2.0,77.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,633.0,4.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,633.0,6.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,633.0,10.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,663.0,1.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,663.0,2.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,663.0,4.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,663.0,6.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,663.0,10.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,693.0,1.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,693.0,2.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,693.0,4.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,693.0,6.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,693.0,10.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,723.0,1.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,723.0,2.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,723.0,4.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,723.0,6.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,723.0,10.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,1.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,2.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,4.0,80.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,6.0,81.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,10.0,81.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,2.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,2.0,79.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,2.0,81.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,2.0,78.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,743.0,2.0,79.0
Cu-0.22Fe-0.06P,Cu low alloyed,99.72,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.22,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,573.0,1.0,68.0
Cu-0.22Fe-0.06P,Cu low alloyed,99.72,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.22,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,673.0,1.0,84.0
Cu-0.22Fe-0.06P,Cu low alloyed,99.72,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.22,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,773.0,1.0,87.0
Cu-0.22Fe-0.06P-0.02B-0.05Ce,Cu low alloyed,99.65,0.0,0.0,0.02,0.0,0,0.0,0.05,0.0,0.22,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,573.0,1.0,63.0
Cu-0.22Fe-0.06P-0.02B-0.05Ce,Cu low alloyed,99.65,0.0,0.0,0.02,0.0,0,0.0,0.05,0.0,0.22,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,673.0,1.0,80.0
Cu-0.22Fe-0.06P-0.02B-0.05Ce,Cu low alloyed,99.65,0.0,0.0,0.02,0.0,0,0.0,0.05,0.0,0.22,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,773.0,1.0,85.0
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.68,0.27,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,723.0,6.0,73.0
Cu-0.7Cr-0.3Fe,Cu low alloyed,99.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.68,0.27,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,723.0,12.0,75.0
